Year,Total_Launches
1957,3
1958,28
1959,20
1960,39
1961,52
1962,82
1963,41
1964,60
1965,87
1966,101
1967,106
1968,103
1969,103
1970,107
1971,119
1972,99
1973,103
1974,98
1975,113
1976,113
1977,114
1978,97
1979,49
1980,55
1981,71
1982,67
1983,66
1984,69
1985,74
1986,62
1987,56
1988,59
1989,52
1990,80
1991,59
1992,62
1993,61
1994,64
1995,61
1996,60
1997,70
1998,68
1999,57
2000,57
2001,43
2002,49
2003,52
2004,40
2005,37
2006,49
2007,50
2008,48
2009,50
2010,37
2011,42
2012,38
2013,46
2014,53
2015,52
2016,90
2017,92
2018,117
2019,109
2020,63
