Year,Organization,Missions
1957,RVSN USSR,2
1958,US Navy,12
1959,US Air Force,10
1960,US Air Force,21
1961,US Air Force,23
1962,US Air Force,41
1963,RVSN USSR,24
1964,RVSN USSR,36
1965,RVSN USSR,53
1966,RVSN USSR,51
1967,RVSN USSR,74
1968,RVSN USSR,79
1969,RVSN USSR,82
1970,RVSN USSR,87
1971,RVSN USSR,93
1972,RVSN USSR,79
1973,RVSN USSR,84
1974,RVSN USSR,83
1975,RVSN USSR,89
1976,RVSN USSR,95
1977,RVSN USSR,97
1978,RVSN USSR,71
1979,RVSN USSR,36
1980,RVSN USSR,40
1981,RVSN USSR,51
1982,RVSN USSR,53
1983,RVSN USSR,46
1984,RVSN USSR,42
1985,RVSN USSR,51
1986,RVSN USSR,49
1987,RVSN USSR,42
1988,RVSN USSR,36
1989,RVSN USSR,26
1990,RVSN USSR,37
1991,RVSN USSR,28
1992,VKS RF,14
1993,VKS RF,26
1994,VKS RF,21
1995,Lockheed,12
1996,Arianespace,10
1997,Arianespace,11
1998,Boeing,13
1999,Boeing,11
2000,Arianespace,12
2001,Arianespace,8
2002,Arianespace,12
2003,Boeing,9
2004,Boeing,8
2005,Arianespace,5
2006,Boeing,8
2007,ULA,13
2008,CASC,9
2009,ULA,16
2010,ULA,8
2011,ULA,11
2012,ULA,10
2013,ULA,11
2014,ULA,14
2015,Arianespace,12
2016,CASC,22
2017,SpaceX,18
2018,CASC,37
2019,CASC,27
2020,CASC,19
